Paleobiology Database
Ceratotherium simum
Dicerorhinus sumatrensis
Diceros bicornis
Rhinoceros unicornis
Rhinoceros sondaicus
Tapirus bairdii
Tapirus indicus
Tapirus pinchaque
Tapirus terrestris
Equus africanus
Equus asinus
PLOS One
Equus grevyi
Equus caballus
Equus kiang
Mammalian Species
Equus zebra
Equus hemionus
Equus quagga
Equus ferus
