Lemur catta
Southern muriqui
Brachyteles arachnoides
Lagothrix lagotricha
Lagothrix flavicauda
Lagothrix lagothricha
Callimico goeldii
Black-tufted marmoset
Callithrix penicillata
Buffy-headed marmoset
Callithrix flaviceps
Buffy-tufted marmoset
Callithrix aurita
Common marmoset
Callithrix jacchus
White-headed marmoset
Callithrix geoffroyi
Wied's marmoset
Callithrix kuhlii
Cebuella niveiventris
Callithrix pygmaea
Cebuella pygmaea
Leontocebus leucogenys
Leontocebus cruzlimai
Leontocebus nigrifrons
Leontocebus illigeri
Leontocebus fuscus
Leontocebus lagonotus
Leontocebus weddelli
Leontopithecus chrysopygus
Leontopithecus rosalia
Leontopithecus chrysomelas
Leontopithecus caissara
Black-headed marmoset
Mico nigriceps
Black-tailed marmoset
Mico melanurus
Emilia's marmoset
Mico emiliae
Gold-and-white marmoset
Callithrix chrysoleuca
Mico chrysoleucos
Hershkovitz's marmoset
Mico intermedius
Marca's marmoset
Mico marcai
Maués marmoset
Mico mauesi
Munduruku marmoset
Mico munduruku
Mico acariensis
Rondon's marmoset
Mico rondoni
Callibella humilis
Santarem marmoset
Mico humeralifer
Satéré marmoset
Mico saterei
Schneider's marmoset
Mico schneideri
Silvery marmoset
Mico argentatus
Callithrix argentata
White marmoset
Mico leucippe
Brown-mantled tamarin
Leontocebus fuscicollis
Black-mantled tamarin
Saguinus nigricollis
Leontocebus nigricollis
Black tamarin
Saguinus niger
Cotton-top tamarin
Saguinus oedipus
Saguinus ursulus
Emperor tamarin
Saguinus imperator
Geoffroy's tamarin
Saguinus geoffroyi
Golden-handed tamarin
Saguinus midas
Golden-mantled tamarin
Saguinus tripartitus
Leontocebus tripartitus
Martins's tamarin
Saguinus martinsi
Mottle-faced tamarin
Saguinus inustus
Moustached tamarin
Saguinus mystax
Pied tamarin
Saguinus bicolor
Red-capped tamarin
White-footed tamarin
Saguinus leucopus
White-lipped tamarin
Saguinus labiatus
White-mantled tamarin
Saguinus melanoleucus
Cebus capucinus
Kaapori capuchin
Cebus kaapori
Wedge-capped capuchin
Cebus olivaceus
Cebus albifrons
Black capuchin
Cebus nigritus
Sapajus nigritus
Azaras's capuchin
Sapajus cay
Black-striped capuchin
Sapajus libidinosus
Blond capuchin
Sapajus flavius
Crested capuchin
Sapajus robustus
Golden-bellied capuchin
Cebus xanthosternos
Sapajus xanthosternos
Tufted capuchin
Sapajus apella
Cebus apella
Saimiri ustus
Saimiri vanzolinii
Saimiri boliviensis
Saimiri oerstedii
Saimiri collinsi
Saimiri sciureus
Saimiri cassiquiarensis
Callicebus personatus
Callicebus barbarabrownae
Callicebus nigrifrons
Callicebus melanochir
Callicebus coimbrai
Cheracebus lugens
Callicebus torquatus
Cheracebus torquatus
Cheracebus medemi
Cheracebus lucifer
Cheracebus regulus
Plecturocebus cinerascens
Plecturocebus baptista
Plecturocebus brunneus
Plecturocebus caquetensis
Plecturocebus caligatus
Callicebus cupreus
Plecturocebus cupreus
Plecturocebus dubius
Plecturocebus hoffmannsi
Plecturocebus aureipalatii
Plecturocebus miltoni
Plecturocebus olallae
Plecturocebus ornatus
Plecturocebus bernhardi
Plecturocebus moloch
Callicebus moloch
Plecturocebus modestus
Plecturocebus oenanthe
Plecturocebus stephennashi
Plecturocebus toppini
Plecturocebus urubambensis
Plecturocebus vieirai
Plecturocebus pallescens
Plecturocebus donacophilus
Callicebus donacophilus
Plecturocebus discolor
Aracá uakari
Cacajao calvus
Cacajao ucayalii
Cacajao rubicundus
Cacajao novaesi
Golden-backed uakari
Cacajao melanocephalus
Neblina uakari
Cacajao hosomi
Cacajao ayresi
Chiropotes satanas
Chiropotes sagulatus
Chiropotes chiropotes
Chiropotes utahickae
White-nosed saki
Chiropotes albinasus
Burnished saki
Pithecia inusta
Cazuza's saki
Pithecia cazuzai
Equatorial saki
Pithecia aequatorialis
Golden-faced saki
Pithecia chrysocephala
Hairy saki
Pithecia hirsuta
Isabel's saki
Pithecia isabela
Miller's saki
Pithecia milleri
Monk saki
Pithecia monachus
Napo saki
Pithecia napensis
Pithecia irrorata
Pithecia vanzolinii
White-faced saki
Pithecia pithecia
White-footed saki
Pithecia albicans
Tarsius syrichta
Cephalopachus bancanus
Tarsius bancanus
Dian's tarsier
Tarsius dentatus
Primate Conservation
Tarsius spectrumgurskyae
Jatna's tarsier
Tarsius supriatnai
Lariang tarsier
Tarsius lariang
Makassar tarsier
Tarsius fuscus
Niemitz's tarsier
Tarsius niemitzi
Peleng tarsier
Tarsius pelengensis
Pygmy tarsier
Tarsius pumilus
