Proechimys mincae
Proechimys poliopus
Proechimys urichi
Proechimys amphichoricus
Proechimys cayennensis
Proechimys oris
Thrichomys apereoides
Thrichomys fosteri
Thrichomys inermis
Thrichomys laurentius
Thrichomys pachyurus
Trinomys albispinus
Trinomys dimidiatus
Trinomys eliasi
Trinomys gratiosus
Trinomys iheringi
Trinomys mirapitanga
Trinomys moojeni
Trinomys myosuros
Trinomys paratus
Trinomys setosus
Trinomys yonenagae
Puertoricomys corozalus
Heteropsomys antillensis
Heteropsomys insulans
Brotomys voratus
Boromys offella
Boromys torrei
Capromys pilorides
Capromys garridoi
Mesocapromys angelcabrerai
Mesocapromys auritus
Mesocapromys melanurus
Mesocapromys nanus
Mesocapromys sanfelipensis
Mysateles prehensilis
Geocapromys brownii
Geocapromys caymanensis
Geocapromys columbianus
Geocapromys ingrahami
Geocapromys megas
Geocapromys pleistocenicus
Geocapromys thoracatus
Hyperplagiodontia araeum
Plagiodontia aedium
Plagiodontia ipnaeum
Plagiodonta spelaeum
Rhizoplagiodontia lemkei
Isolobodon montanus
Isolobodon portoricensis
Hexolobodon phenax
Clidomys osborni
Elasmodontomys obliquus
Quemisia gravis
Amblyrhiza inundata
Myocastor coypus
Aethurus glirinus
Anomalurus beecrofti
Anomalurus derbianus
Anomalurus peli
Anomalurus pusillus
Idiurus zenkeri
Idiurus macrotis
Zenkerella insignis
Pedetes capensis
Pedetes surdaster
Aplodontia rufa
Ratufa affinis
Ratufa bicolor
Ratufa indica
Ratufa macroura
Sciurillus pusillus
Microsciurus alfari
Microsciurus flaviventer
Microsciurus mimulus
Microsciurus santanderensis
Rheithrosciurus macrotis
Sciurus aestuans
Sciurus argentinius
Sciurus gilvigularis
Sciurus granatensis
Sciurus ignitus
Sciurus ingrami
Sciurus pucheranii
Sciurus richmondi
Sciurus sanborni
Sciurus stramineus
Sciurus flammifer
Sciurus pyrrhinus
Sciurus griseus
Sciurus aberti
Sciurus alleni
Sciurus arizonensis
Sciurus aureogaster
Sciurus carolinensis
Sciurus colliaei
Sciurus deppei
Sciurus lis
Sciurus meridionalis
Sciurus nayaritensis
Sciurus niger
Sciurus oculatus
Sciurus variegatoides
Sciurus vulgaris
Sciurus yucatanensis
Sciurus anomalus
Sciurus igniventris
Sciurus spadiceus
Syntheosciurus brochus
Tamiasciurus douglasii
Tamiasciurus fremonti
Tamiasciurus hudsonicus
Aeretes melanopterus
Aeromys tephromelas
